c DIMACS CNF: Randomly generated 3-SAT instance
c 15 variables, 50 clauses
p cnf 15 50
4 -9 12 0
-1 5 13 0
-7 2 11 0
14 -3 6 0
-10 8 -15 0
1 4 -7 0
-12 9 2 0
5 -13 11 0
-6 15 -8 0
3 -14 10 0
-1 12 4 0
7 -2 15 0
-11 5 -13 0
8 -6 3 0
10 -14 9 0
2 -7 12 0
13 -5 1 0
-15 8 -6 0
14 -3 10 0
-4 11 -9 0
6 -12 1 0
15 -7 2 0
-13 5 8 0
-10 14 -3 0
9 -4 11 0
-1 7 -15 0
12 -2 6 0
-5 13 -8 0
14 -10 3 0
-4 9 -11 0
1 15 -7 0
-12 2 -6 0
5 -8 13 0
-14 3 10 0
4 -11 9 0
-1 6 -12 0
15 -2 7 0
-13 8 -5 0
10 -3 14 0
-9 11 4 0
1 -7 15 0
12 -6 2 0
-5 8 -13 0
14 -10 3 0
-4 9 -11 0
1 6 -15 0
-12 7 -2 0
5 -13 8 0
-14 10 -3 0
4 -11 9 0
